Posted Date,Job Title,Main Skill 1,Main Skill 2,Main Skill 3,Company,Workplace,Address,Company Type,Company Industry,Company Size,Country,Working Days,Overtime Policy
2024-10-20 09:49:55.599354,Chuyên viên triển khai phần mềm (ERP),ERP,Python,Java,Avenue,At office,Others,IT Service and IT Consulting,IT Services and IT Consulting,51-150,Vietnam,Monday - Friday,Extra salary for OT
2024-10-19 20:49:55.599354,Senior Live Ops Manager (Data Analyst/ Games),Manager,Data Analyst,Games,Mirai Labs,At office,Ho Chi Minh - Ha Noi,IT Product,"AI, Blockchain and Deep Tech Services",51-150,Vietnam,Monday - Friday,Extra salary for OT
2024-10-19 20:49:55.599354,Product Owner,Product Owner,Data Analyst,Team Leader,VPBank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Saturday,No OT
2024-10-18 20:49:55.599354,"Data Engineer - Hybrid working (Oracle, P/L SQL, T SQL)",Database,SQL,Oracle,SHBFinance,Hybrid,Ha Noi,IT Product,Financial Services,1000+,Vietnam,Monday - Friday,No OT
2024-10-18 20:49:55.599354,CV Kiểm toán nội bộ CNTT (IT Audit),Security,Database,SQL,VCBS,At office,Ha Noi,IT Product,Financial Services,301-500,Vietnam,Monday - Friday,Extra salary for OT
2024-10-18 20:49:55.599354,"Quản Lý Thông Tin Nhân Sự (SQL, Data Analyst, Power BI)",SQL,Database,Data Analyst,Vietnam International Bank (VIB),At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,
2024-10-18 20:49:55.599354,"Senior Officer, Business Itelligence",Data Analyst,Python,Agile,Techcombank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,IT - AI Solutions Architect,Solution Architect,Python,C#,Ngân Hàng Á Châu | ACB,At office,Ho Chi Minh,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Data Governance Expert,Business Intelligence,English,,VinFast,At office,Ha Noi,IT Product,"Transportation, Logistics and Warehouse",301-500,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Software Development - Integration Technology (ESB),Database,AWS,Linux,FE CREDIT,At office,Ho Chi Minh,IT Product,Financial Services,1000+,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Business Analyst - CRM,Business Analyst,Data Analyst,,DNSE,At office,Ha Noi,IT Product,Financial Services,151-300,Vietnam,Monday - Friday,No OT
2024-10-16 20:49:55.599354,CG Nghiên cứu và phát triển nền tảng (Devops/AI/ML),DevOps,Cloud,DevSecOps,Ngân hàng TMCP Lộc Phát Việt Nam LPBank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-16 20:49:55.599354,Chuyên viên/ Chuyên viên cao cấp Quản trị CSDL,Database,Oracle,AWS,MB Bank,At office,Ha Noi,IT Product,,1000+,Vietnam,Monday - Friday,
2024-10-16 20:49:55.599354,"System Engineer (Linux, Database, MySQL)",System Engineer,Database,Linux,South Telecom,At office,Ha Noi,IT Product,Telecommunication,51-150,Vietnam,Monday - Friday,
2024-10-16 20:49:55.599354,Java Developer (ALL LEVEL),Java,Database,Spring,MB Ageas Life,At office,Ha Noi,IT Product,Financial Services,501-1000,Vietnam,Monday - Friday,No OT
2024-10-16 20:49:55.599354,Chuyên Gia Phân Tích và Hoạch Định Dữ Liệu,Database,Data Analyst,,Techcombank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-16 20:49:55.599354,Quản trị cơ sở dữ liệu DBA (Database/Oracle /Linux),Oracle,Database,Linux,VNPT Net Corporation,At office,Ha Noi,IT Product,Telecommunication,1000+,Vietnam,Monday - Friday,No OT
2024-10-16 20:49:55.599354,Kỹ sư dữ liệu (Data Engineer/ Python/Java/ Database),Java,Python,Database,VNPT Net Corporation,At office,Ha Noi,IT Product,Telecommunication,1000+,Vietnam,Monday - Friday,No OT
2024-10-15 20:49:55.599354,"Oracle Database Admin (System Admin, Technical Support)",Oracle,Database,Linux,Công ty Cổ phần Chứng khoán KIS Việt Nam,At office,Ho Chi Minh,IT Product,Financial Services,151-300,Vietnam,Monday - Friday,No OT
2024-10-14 20:49:55.599354,"Data Engineering (Python, SQL, Oracle)",Python,SQL,Oracle,HDBank,At office,Ho Chi Minh,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-14 20:49:55.599354,AI Engineer ( Python/ Scala/ Django/ Java ) - Khối CNTT,Python,Django,Java,MB Bank,At office,Ha Noi,IT Product,,1000+,Vietnam,Monday - Friday,
2024-10-11 20:49:55.599354,"Chuyên viên quản trị, vận hành cơ sở dữ liệu (DBA)",Database,SQL,Oracle,VRB,At office,Ha Noi,Non-IT,Banking,501-1000,Vietnam,Monday - Friday,
2024-10-11 20:49:55.599354,Senior Backend Engineer (Python/Django/Database/Agile),Python,Database,Django,Zien Solutions,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,1-50,Vietnam,Monday - Friday,No OT
2024-10-11 20:49:55.599354,Senior Software Engineer (Generative AI),Python,Agile,Software Architect,Zien Solutions,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,1-50,Vietnam,Monday - Friday,No OT
2024-10-10 20:49:55.599354,CV quản lý và phát triển sản phẩm App MBBank -PO Retail,Product Owner,Agile,Business Analyst,MB Bank,At office,Ha Noi,IT Product,,1000+,Vietnam,Monday - Friday,
2024-10-08 20:49:55.599354,Data Scientist/Machine Learning Engineer,Python,Java,,M_Service (MoMo),At office,Ho Chi Minh,IT Product,Financial Services,1000+,Vietnam,Monday - Friday,Extra days off for OT
2024-10-08 20:49:55.599354,"Fr/Junior Blockchain Developer (Python, JavaScript, Go)",Blockchain,Python,JavaScript,Công ty TNHH Công nghệ RBX,At office,Ha Noi,IT Product,"AI, Blockchain and Deep Tech Services",1-50,Vietnam,Monday - Friday,No OT
2024-10-19 20:49:55.599354,"Ruby On Rails Developer (PostgreSQL, Agile)",Ruby on Rails,Agile,PostgreSql,EMTEK ELECTRIC AUTOMOBILE TECHNOLOGY DEVELOPMENT,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,1-50,Vietnam,Monday - Friday,No OT
2024-10-15 20:49:55.599354,"Senior Data Operator - TA099 (Cloud, Database, Python)",Cloud,Python,Database,VPBank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Saturday,No OT
2024-10-15 20:49:55.599354,CV Quản lý Hạ tầng Trung tâm dữ liệu (System Admin),Database,System Engineer,System Admin,MB Bank,At office,Ha Noi,IT Product,,1000+,Vietnam,Monday - Friday,
2024-10-14 20:49:55.599354,Business Analyst (SQL),Business Analyst,SQL,Data Analyst,Công ty Cổ phần MercTrans,At office,Ha Noi,IT Outsourcing,Software Development Outsourcing,1-50,Vietnam,Monday - Friday,No OT
2024-10-13 20:49:55.599354,Data Platform Engineer (Python/Java/Cloud)-K. Dữ Liệu,Java,Python,Cloud,MB Bank,At office,Ha Noi,IT Product,,1000+,Vietnam,Monday - Friday,
2024-10-12 20:49:55.599354,"Machine Learning Explorer (Python, SQL, Database)",Python,Database,SQL,MediaX,At office,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,1-50,Vietnam,Monday - Friday,No OT
2024-10-12 20:49:55.599354,Senior Data Analyst,SQL,Python,Database,One Mount Group,At office,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,1000+,Vietnam,Monday - Saturday,No OT
2024-10-12 20:49:55.599354,Data Scientist (Computer Vision),Computer Vision,Python,Linux,Cartrack,At office,Ho Chi Minh,IT Product,"Transportation, Logistics and Warehouse",1-50,Vietnam,Monday - Friday,No OT
2024-10-11 20:49:55.599354,[Lâm Đồng] Chuyên viên Data Trang trại,Data Analyst,Database,,TH Group,At office,Others,IT Product,Manufacturing and Engineering,301-500,Vietnam,Monday - Friday,
2024-10-11 20:49:55.599354,Quality Assurance (QA/ PQA) - Khối Dữ liệu (HO24.121),QA QC,PQA,,MB Bank,At office,Ha Noi,IT Product,,1000+,Vietnam,Monday - Friday,
2024-10-10 20:49:55.599354,Sr. Expert IT Business Analyst Specialist,Business Analyst,Database,English,FE CREDIT,At office,Ho Chi Minh,IT Product,Financial Services,1000+,Vietnam,Monday - Friday,No OT
2024-10-10 20:49:55.599354,Data Labeling E-Commerce,Database,English,IT Support,THOTH AI,At office,Ha Noi - Others - Ho Chi Minh,IT Product,Game,51-150,Vietnam,Monday - Friday,Extra days off for OT
2024-10-09 20:49:55.599354,"Technical Sales Engineer (Presales, Project Manager)",Presale,Project Manager,Data Analyst,Công Ty Năng Lượng Môi Trường Biển Đông (ESEC),At office,Ho Chi Minh,IT Product,Utilities,51-150,Vietnam,Monday - Friday,No OT
2024-10-09 20:49:55.599354,Senior AI Engineer - LLM,Python,Computer Vision,,Qualgo Technologies,At office,Ho Chi Minh,IT Product,Cyber Security,151-300,Vietnam,Monday - Friday,No OT
2024-10-05 20:49:55.599354,"AI Engineers (MLOps, CV, NLP) Up to 2000$",Python,Linux,,DOPIKAI,Hybrid,Ha Noi,IT Product,Software Development Outsourcing,1-50,Vietnam,Monday - Friday,No OT
2024-10-05 20:49:55.599354,"Database Administrator Expert (SQL Server, PostgreSQL)",Database,MySQL,PostgreSql,FE CREDIT,At office,Ho Chi Minh,IT Product,Financial Services,1000+,Vietnam,Monday - Friday,No OT
2024-10-05 20:49:55.599354,Data Annotator,Database,English,IT Support,THOTH AI,At office,Ho Chi Minh - Ha Noi - Others,IT Product,Game,51-150,Vietnam,Monday - Friday,Extra days off for OT
2024-10-05 20:49:55.599354,"Kỹ Sư Dữ Liệu (Data Engineer, SQL)",Database,SQL,English,Ngân hàng TMCP Thịnh vượng và Phát triển (PGBank),At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,
2024-10-04 20:49:55.599354,Business Analyst (Data),Business Analyst,Agile,SQL,ABBANK,At office,Ha Noi,Non-IT,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-03 20:49:55.599354,Ruby Developer (Ruby on Rails),Ruby on Rails,JavaScript,PostgreSql,CÔNG TY CỔ PHẦN GOLDEN OWL SOLUTIONS,At office,Ho Chi Minh,IT Outsourcing,IT Services and IT Consulting,51-150,Vietnam,Monday - Friday,No OT
2024-10-03 20:49:55.599354,"Middle/Senior Data Engineer (Azure, Databricks)",Cloud,Azure,Data Analyst,TechSoft,At office,Da Nang,IT Service and IT Consulting,IT Services and IT Consulting,51-150,Vietnam,Monday - Friday,No OT
2024-10-03 20:49:55.599354,"[DI6] Senior Data Engineer (SQL, Python) – MSB - 1Y565",SQL,Python,Java,MSB,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-03 20:49:55.599354,Data Engineering/Ops (1 year contract),SQL,NoSQL,,Ngân Hàng Á Châu | ACB,At office,Ho Chi Minh,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-02 20:49:55.599354,"Data Engineer - Bonus 30,000,000 VND",Database,Python,SQL,FPT Software,At office,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,1000+,Vietnam,Monday - Friday,Extra salary for OT
2024-10-02 20:49:55.599354,"Data Scientist, Modeling",Python,English,Data Analyst,One Mount Group,At office,Ha Noi - Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,1000+,Vietnam,Monday - Saturday,No OT
2024-10-02 20:49:55.599354,"Middle - Senior Data Engineer (Azure, Databricks)",Python,SQL,Azure,EMESOFT,At office,Ho Chi Minh,IT Outsourcing,Software Development Outsourcing,1-50,Vietnam,Monday - Friday,No OT
2024-10-01 20:49:55.599354,Senior Backend Engineer (Java),Java,Database,Spring,One Mount Group,At office,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,1000+,Vietnam,Monday - Saturday,No OT
2024-10-01 20:49:55.599354,"Sr AI Research&Engineer(Data Analyst, Python, Database)",Data Analyst,Python,Database,Velacorp,At office,Ha Noi,IT Product,E-commerce,151-300,Vietnam,Monday - Friday,
2024-09-28 20:49:55.599354,Kỹ sư Trực điều hành cơ sở,System Engineer,Data Analyst,,EVN SPCIT,At office,Ho Chi Minh,Non-IT,Utilities,51-150,Vietnam,Monday - Friday,Extra days off for OT
2024-09-26 20:49:55.599354,"Smart Contract Engineer (Blockchain, Solidity)",Blockchain,TypeScript,Solidity,Bacoor Vietnam,At office,Ho Chi Minh,IT Product,Software Products and Web Services,1-50,Vietnam,Monday - Friday,No OT
2024-09-25 20:49:55.599354,HO - Data Scientist (Banking Models),Python,MySQL,,Ngân Hàng Á Châu | ACB,At office,Ho Chi Minh,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-09-25 20:49:55.599354,HO - Business Intelligence Executive,Business Intelligence,MySQL,Data Analyst,Ngân Hàng Á Châu | ACB,At office,Ho Chi Minh,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-09-25 20:49:55.599354,"Senior Data Engineer (Python, Data Warehouse, Alert)",Python,Database,NoSQL,Simple Tech Investment,At office,Ho Chi Minh,IT Product,Financial Services,301-500,Vietnam,Monday - Friday,No OT
2024-09-24 20:49:55.599354,"Digital Product Owner (Business Analyst, Data Analyst)",Product Owner,Data Analyst,Business Analyst,Vietnam International Bank (VIB),At office,Ho Chi Minh - Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,
2024-09-24 20:49:55.599354,Junior Manual Tester,Tester,Data Analyst,Business Analyst,Skylink Innovation,At office,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,Vietnam,Monday - Friday,No OT
2024-09-24 20:49:55.599354,02 Ruby on Rails,HTML5,CSS,Ruby on Rails,HDWEBSOFT,At office,Ho Chi Minh,IT Outsourcing,Software Development Outsourcing,151-300,Vietnam,Monday - Friday,No OT
2024-09-24 20:49:55.599354,Middle/Senior Backend Developer (NodeJS/NestJS),NodeJS,Database,JavaScript,Unity Sport JSC,At office,Ho Chi Minh,IT Product,Sports and Fitness,1-50,Vietnam,Monday - Friday,Extra salary for OT
2024-09-23 20:49:55.599354,Middle/Senior Java Developer,Java,Database,Spring,MB Ageas Life,At office,Ha Noi,IT Product,Financial Services,501-1000,Vietnam,Monday - Friday,No OT
2024-09-21 20:49:55.599354,"Backend Java Developer (Database, Oracle)",Java,Database,Oracle,Công ty cổ phần Legotech,At office,Ha Noi,IT Product,Software Products and Web Services,1-50,Vietnam,Monday - Friday,No OT
2024-09-21 20:49:55.599354,"Automation Engineer (Make.com, Zapier, AI Integration)",JSON,English,Automation Test,For Generations To Come,At office,Ha Noi,IT Outsourcing,Professional Services,1-50,Vietnam,Monday - Friday,No OT
2024-09-20 20:49:55.599354,AI Application Developer,DevOps,Python,Database,PI ASSOCIATES,At office,Others,IT Product,Professional Services,1-50,Vietnam,Monday - Friday,No OT
2024-09-20 20:49:55.599354,"Hỗ trợ Giải pháp Công nghệ Thẻ (eKYC, AI/ML, SQL)",Oracle,SQL,Data Analyst,Vietnam International Bank (VIB),At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,
2024-09-19 20:49:55.599354,"Fresher ReactJS Developer (Blockchain, English)",ReactJS,English,Blockchain,LOTUS SOFT,At office,Ho Chi Minh,IT Outsourcing,Software Development Outsourcing,1-50,Vietnam,Monday - Friday,Extra salary for OT
2024-09-18 20:49:55.599354,Senior AI Developer/ AI Engineer (Up to 2500$),Database,Python,Data Analyst,"ARSEN Kawaijuku Tech Vietnam Co.,Ltd",At office,Ho Chi Minh,IT Product,Education and Training,1-50,Vietnam,Monday - Friday,No OT
2024-09-18 20:49:55.599354,Kỹ sư Giám sát An toàn thông tin,Security,System Engineer,Data Analyst,EVN SPCIT,At office,Ho Chi Minh,Non-IT,Utilities,51-150,Vietnam,Monday - Friday,Extra days off for OT
2024-09-17 20:49:55.599354,"Java Engineer (Spring, Cloud, Database)",Java,Spring,Cloud,VPBank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Saturday,No OT
2024-09-17 20:49:55.599354,"Head of Data Governance (Manager, Python, Data Analyst)",Python,Manager,Data Analyst,Vietnam International Bank (VIB),At office,Ho Chi Minh,IT Product,Banking,1000+,Vietnam,Monday - Friday,
2024-09-17 20:49:55.599354,"Data Quality Professional (Python, SQL, Data Analyst)",Python,SQL,Data Analyst,Vietnam International Bank (VIB),At office,Ho Chi Minh,IT Product,Banking,1000+,Vietnam,Monday - Friday,
2024-09-17 20:49:55.599354,"Data Catalog Professional (Data Modeling, SQL)",SQL,Database,Data Analyst,Vietnam International Bank (VIB),At office,Ho Chi Minh,IT Product,Banking,1000+,Vietnam,Monday - Friday,
2024-09-17 20:49:55.599354,Senior Data Architeture & Data Governance (Python/SQL),Python,SQL,Oracle,PVcomBank,At office,Ha Noi,IT Product,Financial Services,301-500,Vietnam,Monday - Friday,
2024-09-16 20:49:55.599354,HO - Data Engineer (ETL Specialist),C#,SQL,Oracle,Ngân Hàng Á Châu | ACB,At office,Ho Chi Minh,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-09-16 20:49:55.599354,Senior Backend Engineer (NodeJS/Data),NodeJS,MySQL,Database,Younet Media,At office,Ho Chi Minh,IT Product,"Media, Advertising and Entertainment",51-150,Vietnam,Monday - Friday,
2024-09-14 20:49:55.599354,"Quản trị Hạ tầng CSDL (DBA/ Data Engineer, SQL)",SQL,AWS,Data Analyst,VietinBank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-09-12 20:49:55.599354,Senior Data Engineer (Onprem/Signing Bonus 0.5 Month),Java,Python,MySQL,Giao Hàng Tiết Kiệm,At office,Ha Noi,IT Product,"Transportation, Logistics and Warehouse",1000+,Vietnam,Monday - Saturday,No OT
2024-09-12 20:49:55.599354,"CV Quản trị dữ liệu (Data gorvernance,SQL,Oracle )",Database,SQL,Oracle,Ngân hàng TMCP Lộc Phát Việt Nam LPBank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-09-11 20:49:55.599354,Middle/Senior Android Developer (Kotlin),Android,Database,Kotlin,TP Entertainment,At office,Ha Noi,IT Product,IT Services and IT Consulting,51-150,Vietnam,Monday - Friday,No OT
2024-09-11 20:49:55.599354,"Senior Data Analysis & Data Science (Python, Oracle)",Python,Database,Oracle,PVcomBank,At office,Ha Noi,IT Product,Financial Services,301-500,Vietnam,Monday - Friday,
2024-09-11 20:49:55.599354,Senior Data Engineering (Python/Java/SQL),Java,Python,SQL,PVcomBank,At office,Ha Noi,IT Product,Financial Services,301-500,Vietnam,Monday - Friday,
2024-09-10 20:49:55.599354,Cloud Data Backup Engineer (Commvault/Veeam/AWS),Cloud,MySQL,System Engineer,Accenture,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,301-500,Vietnam,Monday - Friday,No OT
2024-09-09 20:49:55.599354,Viettel AI - Kỹ sư Phát triển phần mềm (NoSQL/Database),NoSQL,Database,,Viettel Group,At office,Ha Noi,IT Product,Telecommunication,1000+,Vietnam,Monday - Friday,
2024-09-08 20:49:55.599354,"MLOps Engineer (Python, CI/CD, ML Pineline, Docker)",Python,Database,Cloud,ABBANK,At office,Ha Noi,Non-IT,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-09-07 20:49:55.599354,Principal Engineer (Engineering Lead),Solution Architect,Ruby on Rails,PostgreSql,AROBID.COM,At office,Ho Chi Minh,IT Product,E-commerce,51-150,Vietnam,Monday - Saturday,No OT
2024-09-05 20:49:55.599354,Junior Android Developer,Android,Database,Kotlin,TP Entertainment,At office,Ha Noi,IT Product,IT Services and IT Consulting,51-150,Vietnam,Monday - Friday,No OT
2024-09-04 20:49:55.599354,Pentester - Khối Công nghệ thông tin,Security,Database,,MB Bank,At office,Ha Noi,IT Product,,1000+,Vietnam,Monday - Friday,
2024-09-04 20:49:55.599354,Data Engineer (Python/Java/SQL),Python,SQL,NoSQL,Viettel Software Services (A Member of Viettel Group),At office,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,1000+,Vietnam,Monday - Friday,
2024-09-03 20:49:55.599354,Senior Data Tester,Tester,Database,SQL,Techcombank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-09-03 20:49:55.599354,Data Analyst (Middle),Data Analyst,Python,SQL,GemCommerce,At office,Ha Noi,IT Product,E-commerce,51-150,Vietnam,Monday - Friday,
2024-09-02 20:49:55.599354,"Head of Data Science,Zalopay",Computer Vision,Python,Scala,VNG Corporation,At office,Ho Chi Minh,IT Product,Software Products and Web Services,1000+,Vietnam,Monday - Friday,No OT
2024-09-01 20:49:55.599354,05 Database Administrator ( Oracle/ SQL),Database,SQL,Oracle,Vega Corporation,At office,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,301-500,Vietnam,Monday - Friday,No OT
2024-08-31 20:49:55.599354,Senior Data Engineer,Python,Database,SQL,One Mount Group,At office,Ha Noi - Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,1000+,Vietnam,Monday - Saturday,No OT
2024-08-27 20:49:55.599354,"(Senior) Data Scientist, Zalopay",Python,Computer Vision,Scala,VNG Corporation,At office,Ho Chi Minh,IT Product,Software Products and Web Services,1000+,Vietnam,Monday - Friday,No OT
